新聞,#genre#
TVBS 新聞,https://aka25p.akamaized.net/live/TVBSN/playlist.m3u8#http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8#https://www.youtube.com/watch?v=m_dhMSvUCIc
三立 iNEWS,http://4gtv.mumi.rip:9877/229/4gtv-live089/index.m3u8#https://www.youtube.com/watch?v=pF507BLtbqU
三立新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
民視新聞,http://4gtv.mumi.rip:9877/257/4gtv-live413/index.m3u8#http://4gtv.mumi.rip:9877/31/litv-ftv13/index.m3u8#https://www.youtube.com/watch?v=ylYJSBUgaMA
東森新聞,https://aka25p.akamaized.net/live/EBCNews/playlist.m3u8#http://4gtv.mumi.rip:9877/292/4gtv-4gtv152/index.m3u8
東森財經新聞,http://4gtv.mumi.rip:9877/293/4gtv-4gtv153/index.m3u8#https://www.youtube.com/watch?v=WHEPzbFA3hw
非凡新聞,https://aka03p.akamaized.net/litv/fet001.smil/playlist.m3u8
華視新聞,http://4gtv.mumi.rip:9877/34/4gtv-4gtv052/index.m3u8#http://4gtv.mumi.rip:9877/256/4gtv-live452/index.m3u8#https://www.youtube.com/watch?v=wM0g8EoUZ_E
寰宇新聞,http://4gtv.mumi.rip:9877/36/litv-longturn14/index.m3u8#http://4gtv.mumi.rip:9877/262/4gtv-live408/index.m3u8#https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣,http://4gtv.mumi.rip:9877/280/litv-longturn15/index.m3u8#https://www.youtube.com/watch?v=w87VGpgd90U
寰宇財經,http://4gtv.mumi.rip:9877/281/litv-longturn23/index.m3u8#https://www.youtube.com/watch?v=WTRQiVWK1jY
鏡新聞,http://4gtv.mumi.rip:9877/268/4gtv-4gtv075/index.m3u8#https://www.youtube.com/watch?v=5n0y6b0Q25o
國會頻道1,http://4gtv.mumi.rip:9877/170/4gtv-4gtv084/index.m3u8
國會頻道2,http://4gtv.mumi.rip:9877/171/4gtv-4gtv085/index.m3u8
Bloomberg,http://4gtv.mumi.rip:9877/283/4gtv-live059/index.m3u8
DW 德國之聲,http://4gtv.mumi.rip:9877/226/4gtv-live071/index.m3u8
CNBC Asia,http://4gtv.mumi.rip:9877/235/4gtv-live130/index.m3u8
VOA 美國之音,http://4gtv.mumi.rip:9877/86/litv-ftv03/index.m3u8
半島國際新聞,http://4gtv.mumi.rip:9877/85/litv-ftv10/index.m3u8

體育,#genre#
緯來體育,http://125.227.210.55:8155/VideoInput/play.ts
DAZN 1,rtmp://220.130.201.73/sat/tv731#rtmp://f13h.mine.nu/sat/tv731
DAZN 2,rtmp://220.130.201.73/sat/tv741#rtmp://f13h.mine.nu/sat/tv741
博斯魅力,http://4gtv.mumi.rip:9877/300/litv-longturn04/index.m3u8
博斯高球1,http://4gtv.mumi.rip:9877/48/litv-longturn05/index.m3u8
博斯高球2,http://4gtv.mumi.rip:9877/298/litv-longturn06/index.m3u8
博斯運動1,http://4gtv.mumi.rip:9877/50/litv-longturn07/index.m3u8
博斯運動2,http://4gtv.mumi.rip:9877/299/litv-longturn08/index.m3u8
博斯網球,http://4gtv.mumi.rip:9877/52/litv-longturn09/index.m3u8
博斯無限,http://4gtv.mumi.rip:9877/51/litv-longturn10/index.m3u8
時尚運動X,http://4gtv.mumi.rip:9877/69/4gtv-4gtv014/index.m3u8
GINX Esports TV,http://4gtv.mumi.rip:9877/179/4gtv-4gtv053/index.m3u8
TRACE Sport Stars,http://4gtv.mumi.rip:9877/57/4gtv-4gtv077/index.m3u8
智林體育,http://4gtv.mumi.rip:9877/58/4gtv-4gtv101/index.m3u8
車迷,http://4gtv.mumi.rip:9877/160/4gtv-live201/index.m3u8

闔家,#genre#
民視,http://4gtv.mumi.rip:9877/3/4gtv-4gtv002/index.m3u8
台視,https://www.youtube.com/watch?v=uDqQo8a7Xmk
中視,http://4gtv.mumi.rip:9877/4/4gtv-4gtv040/index.m3u8
